MunicipioPrecio;PrecioM2MedMunTipo
04013;1242,5
04066;943,1
04079;1182,0
04902;956,1
11004;1093,8
11006;903,2
11012;2220,2
11015;1481,9
11020;1090,7
11022;1133,9
11027;1628,3
11028;1208,1
11030;1841,0
11031;1254,6
11032;1307,8
11033;1598,5
14021;1371,5
14038;823,8
14056;821,6
18017;1792,8
18087;1780,8
18140;1079,1
21041;1109,5
21044;1460,4
23005;733,3
23050;1153,1
23055;754,7
23092;866,6
29007;1800,0
29015;1052,3
29025;2317,2
29051;1996,2
29054;2339,1
29067;1949,8
29069;2824,7
29070;2007,5
29082;2045,0
29084;1197,0
29094;1548,9
29901;2273,2
41004;1117,2
41021;1126,7
41024;1100,1
41034;1041,0
41038;1354,8
41039;944,2
41053;882,0
41059;1559,1
41065;889,6
41069;1006,0
41081;1149,3
41091;2026,0
41095;1069,1
22125;1301,2
44216;1186,1
50297;1571,2
33004;1150,7
33024;1543,3
33031;837,5
33037;794,3
33044;1387,8
33066;1098,6
07011;3435,5
07015;2349,4
07026;4039,5
07027;1562,5
07031;2253,7
07032;1754,1
07033;1561,6
07036;2478,7
07040;2376,3
07054;4129,1
35002;1237,7
35004;1236,8
35006;1141,6
35011;1094,7
35014;2170,3
35016;1654,0
35017;1153,4
35019;2410,1
35022;1131,5
35026;1243,3
38001;2318,6
38006;1867,0
38011;1768,2
38017;1555,9
38023;1258,9
38026;1210,9
38028;1714,2
38031;1094,6
38038;1481,6
39016;1335,7
39020;1963,0
39075;1746,5
39087;995,7
05019;1025,1
09018;1122,8
09059;1424,7
09219;1033,0
24089;1267,7
24115;766,8
24142;907,1
34120;1139,0
37274;1567,7
40194;1438,2
42173;1102,5
47186;1416,0
49275;1092,1
02003;1217,6
02009;728,7
02037;685,9
02081;606,5
13005;745,0
13034;1028,5
13071;560,7
13082;624,0
13087;772,9
16078;1130,4
19046;1447,4
19130;1262,7
45081;1279,2
45165;794,4
45168;1405,4
08015;2193,9
08019;3597,2
08056;3263,1
08073;2346,5
08077;2745,0
08089;2711,9
08096;1923,8
08101;2246,0
08102;1314,7
08113;1125,9
08114;1835,1
08121;1898,4
08124;1954,4
08125;1885,2
08163;1658,7
08169;2404,0
08172;2380,8
08180;1902,8
08184;1891,8
08187;1867,0
08194;2027,3
08196;2130,4
08200;2194,2
08205;3713,4
08211;2543,8
08217;2684,3
08231;1942,3
08245;1906,0
08525;1988,3
08260;1893,9
08263;1977,0
08266;2284,5
08270;3797,7
08279;1797,4
08298;1544,1
08301;2321,6
08305;1472,9
08307;1905,4
17023;1621,2
17063;1158,7
17079;1888,8
17095;1805,4
17114;1375,3
17155;1176,5
25120;1029,4
43038;1798,0
43123;1199,4
43148;1397,3
43155;859,4
43163;1500,6
43905;1844,7
03009;706,9
03014;1375,5
03031;2188,3
03047;1902,1
03050;1827,2
03059;703,8
03063;1817,4
03065;982,7
03066;598,5
03082;2257,2
03093;675,8
03099;1381,4
03104;727,6
03121;1566,4
03122;1199,8
03133;1336,4
03139;1393,6
03140;617,4
12009;816,9
12027;910,1
12032;774,1
12040;1039,1
12084;710,3
12126;680,3
12135;785,2
12138;1129,4
46005;904,7
46017;744,6
46021;1047,7
46029;703,0
46078;1047,0
46094;965,4
46102;968,1
46110;926,8
46131;1058,8
46145;749,9
46161;1011,6
46169;1143,4
46181;1033,5
46184;659,5
46190;1204,9
46220;831,6
46235;1014,0
46244;1048,7
46250;1696,9
06011;827,2
06015;1204,9
06044;815,7
06083;851,1
06153;716,4
10037;1137,2
10148;900,3
15002;1131,7
15005;1046,0
15019;751,6
15030;1774,6
15031;1297,4
15036;772,8
15054;897,9
15058;1512,0
15073;975,7
15078;1735,4
27028;1044,6
32054;1161,6
36008;1288,6
36026;896,5
36038;1293,1
36045;975,0
36057;1594,9
36060;979,0
28005;1811,6
28006;3100,9
28007;2242,9
28013;1465,5
28014;1620,8
28022;3032,0
28045;2017,7
28047;1865,0
28049;2011,5
28058;1820,2
28061;1831,8
28065;2028,2
28074;1987,5
28079;3587,9
28080;3397,6
28092;1889,2
28096;1627,0
28106;1466,1
28113;1958,5
28115;3533,8
28123;2267,8
28127;3092,3
28130;2052,8
28134;2771,1
28148;1903,2
28161;1757,3
28181;2318,9
28903;2852,1
30003;1020,5
30005;764,9
30015;712,9
30016;1093,3
30019;844,3
30022;632,6
30024;859,7
30026;1227,9
30027;908,2
30030;1240,1
30035;1306,6
30037;862,1
30039;804,0
30043;666,6
31201;2128,0
31232;1080,6
01059;2136,2
20030;1703,7
20045;2152,8
20067;2304,9
20069;4207,8
48013;2141,2
48015;1987,5
48020;2729,2
48027;2175,5
48036;2182,4
48044;3159,4
48054;2840,6
48078;2293,1
48082;2159,2
48084;1935,9
26089;1309,2
51001;1813,9
52001;1737,7
