Municipio;Nombre;PrecioM2MedMunTipo;RentaMunicipio;RentaMedia;AumentoPoblacion
"""04013""";Almería;1242,5;25682,0;21399,0;5364,0
"""04066""";Níjar;943,1;14981,0;21399,0;2462,0
"""04079""";Roquetas de Mar;1182,0;23012,0;21399,0;5362,0
"""04902""";Ejido, El;956,1;18904,0;21399,0;-4091,0
"""11004""";Algeciras;1093,8;28887,0;24497,0;1849,0
"""11006""";Arcos de la Frontera;903,2;18345,0;24497,0;-81,0
"""11012""";Cádiz;2220,2;29055,0;24497,0;-3804,0
"""11015""";Chiclana de la Frontera;1481,9;23389,0;24497,0;3158,0
"""11020""";Jerez de la Frontera;1090,7;24645,0;24497,0;-114,0
"""11022""";Línea de la Concepción, La;1133,9;25600,0;24497,0;219,0
"""11027""";Puerto de Santa María, El;1628,3;28018,0;24497,0;630,0
"""11028""";Puerto Real;1208,1;25272,0;24497,0;299,0
"""11030""";Rota;1841,0;24768,0;24497,0;330,0
"""11031""";San Fernando;1254,6;25914,0;24497,0;-776,0
"""11032""";Sanlúcar de Barrameda;1307,8;20124,0;24497,0;1867,0
"""11033""";San Roque;1598,5;29289,0;24497,0;2209,0
"""14021""";Córdoba;1371,5;26817,0;21879,0;-3845,0
"""14038""";Lucena;823,8;19621,0;21879,0;201,0
"""14056""";Puente Genil;821,6;20565,0;21879,0;-406,0
"""18017""";Almuñécar;1792,8;20748,0;23515,0;-1245,0
"""18087""";Granada;1780,8;30393,0;23515,0;-995,0
"""18140""";Motril;1079,1;21955,0;23515,0;-1875,0
"""21041""";Huelva;1109,5;25580,0;20972,0;-2577,0
"""21044""";Lepe;1460,4;18026,0;20972,0;1362,0
"""23005""";Andújar;733,3;19961,0;20266,0;-1399,0
"""23050""";Jaén;1153,1;27706,0;20266,0;-2306,0
"""23055""";Linares;754,7;23569,0;20266,0;-1924,0
"""23092""";Úbeda;866,6;23531,0;20266,0;-525,0
"""29007""";Alhaurín de la Torre;1800,0;27028,0;24712,0;2715,0
"""29015""";Antequera;1052,3;23687,0;24712,0;244,0
"""29025""";Benalmádena;2317,2;26399,0;24712,0;1345,0
"""29051""";Estepona;1996,2;24234,0;24712,0;5062,0
"""29054""";Fuengirola;2339,1;24331,0;24712,0;7656,0
"""29067""";Málaga;1949,8;27224,0;24712,0;8403,0
"""29069""";Marbella;2824,7;27502,0;24712,0;6786,0
"""29070""";Mijas;2007,5;22982,0;24712,0;9593,0
"""29082""";Rincón de la Victoria;2045,0;29454,0;24712,0;4652,0
"""29084""";Ronda;1197,0;23505,0;24712,0;-644,0
"""29094""";Vélez-Málaga;1548,9;21933,0;24712,0;3089,0
"""29901""";Torremolinos;2273,2;25659,0;24712,0;355,0
"""41004""";Alcalá de Guadaíra;1117,2;25396,0;25321,0;440,0
"""41021""";Camas;1126,7;23633,0;25321,0;197,0
"""41024""";Carmona;1100,1;21660,0;25321,0;583,0
"""41034""";Coria del Río;1041,0;20540,0;25321,0;239,0
"""41038""";Dos Hermanas;1354,8;25643,0;25321,0;3699,0
"""41039""";Écija;944,2;20376,0;25321,0;-249,0
"""41053""";Lebrija;882,0;19491,0;25321,0;206,0
"""41059""";Mairena del Aljarafe;1559,1;31311,0;25321,0;1424,0
"""41065""";Morón de la Frontera;889,6;20078,0;25321,0;-348,0
"""41069""";Palacios y Villafranca, Los;1006,0;18820,0;25321,0;432,0
"""41081""";Rinconada, La;1149,3;22175,0;25321,0;865,0
"""41091""";Sevilla;2026,0;29866,0;25321,0;-5200,0
"""41095""";Utrera;1069,1;21774,0;25321,0;-1556,0
"""22125""";Huesca;1301,2;28170,0;25513,0;1206,0
"""44216""";Teruel;1186,1;27105,0;23356,0;510,0
"""50297""";Zaragoza;1571,2;29475,0;27827,0;10363,0
"""33004""";Avilés;1150,7;27432,0;27448,0;-2640,0
"""33024""";Gijón;1543,3;28281,0;27448,0;-3469,0
"""33031""";Langreo;837,5;26026,0;27448,0;-1846,0
"""33037""";Mieres;794,3;26419,0;27448,0;-1936,0
