Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""15001""";Abegondo;5494,0;5398,0;5406,0;5454,0;5467,0;27,0
"""15002""";Ames;31993,0;32104,0;31793,0;31278,0;30835,0;1158,0
"""15003""";Aranga;1833,0;1834,0;1849,0;1894,0;1935,0;-102,0
"""15004""";Ares;5997,0;5829,0;5732,0;5671,0;5658,0;339,0
"""15005""";Arteixo;32894,0;32738,0;32262,0;31917,0;31534,0;1360,0
"""15006""";Arzúa;5964,0;6011,0;6041,0;6053,0;6123,0;-159,0
"""15007""";Baña, A;3389,0;3415,0;3450,0;3505,0;3541,0;-152,0
"""15008""";Bergondo;6817,0;6661,0;6633,0;6602,0;6623,0;194,0
"""15009""";Betanzos;13030,0;13053,0;12959,0;12916,0;12941,0;89,0
"""15010""";Boimorto;1943,0;1959,0;1985,0;2022,0;2040,0;-97,0
"""15011""";Boiro;18955,0;18884,0;18838,0;18844,0;18885,0;70,0
"""15012""";Boqueixón;4186,0;4206,0;4220,0;4215,0;4242,0;-56,0
"""15013""";Brión;7957,0;7923,0;7837,0;7748,0;7699,0;258,0
"""15014""";Cabana de Bergantiños;4185,0;4216,0;4248,0;4337,0;4347,0;-162,0
"""15015""";Cabanas;3359,0;3274,0;3281,0;3318,0;3314,0;45,0
"""15016""";Camariñas;5224,0;5209,0;5272,0;5322,0;5419,0;-195,0
"""15017""";Cambre;24616,0;24594,0;24648,0;24603,0;24348,0;268,0
"""15018""";Capela, A;1242,0;1221,0;1232,0;1238,0;1274,0;-32,0
"""15019""";Carballo;31414,0;31429,0;31349,0;31261,0;31195,0;219,0
"""15901""";Cariño;3763,0;3775,0;3838,0;3945,0;4004,0;-241,0
"""15020""";Carnota;3854,0;3899,0;3957,0;4031,0;4060,0;-206,0
"""15021""";Carral;6574,0;6473,0;6408,0;6294,0;6237,0;337,0
"""15022""";Cedeira;6650,0;6676,0;6640,0;6794,0;6888,0;-238,0
"""15023""";Cee;7568,0;7550,0;7546,0;7576,0;7539,0;29,0
"""15024""";Cerceda;4996,0;5008,0;5001,0;5023,0;4992,0;4,0
"""15025""";Cerdido;1075,0;1087,0;1113,0;1126,0;1170,0;-95,0
"""15026""";Cesuras;;;;;;
"""15027""";Coirós;1873,0;1853,0;1824,0;1824,0;1801,0;72,0
"""15028""";Corcubión;1606,0;1590,0;1589,0;1578,0;1592,0;14,0
"""15029""";Coristanco;5878,0;5950,0;6074,0;6177,0;6313,0;-435,0
"""15030""";Coruña, A;245468,0;247604,0;245711,0;244850,0;244099,0;1369,0
"""15031""";Culleredo;30758,0;30685,0;30402,0;30221,0;29982,0;776,0
"""15032""";Curtis;4081,0;4053,0;3983,0;3958,0;3968,0;113,0
"""15033""";Dodro;2710,0;2750,0;2768,0;2791,0;2832,0;-122,0
"""15034""";Dumbría;2927,0;2935,0;2983,0;3040,0;3053,0;-126,0
"""15035""";Fene;12832,0;12868,0;12944,0;13013,0;13110,0;-278,0
"""15036""";Ferrol;64785,0;65560,0;66065,0;66799,0;67569,0;-2784,0
"""15037""";Fisterra;4714,0;4697,0;4708,0;4701,0;4734,0;-20,0
"""15038""";Frades;2306,0;2302,0;2339,0;2385,0;2422,0;-116,0
"""15039""";Irixoa;1340,0;1340,0;1334,0;1333,0;1361,0;-21,0
"""15041""";Laracha, A;11521,0;11406,0;11347,0;11302,0;11281,0;240,0
"""15040""";Laxe;3004,0;2990,0;3016,0;3084,0;3090,0;-86,0
"""15042""";Lousame;3235,0;3268,0;3338,0;3386,0;3447,0;-212,0
"""15043""";Malpica de Bergantiños;5332,0;5352,0;5391,0;5447,0;5518,0;-186,0
"""15044""";Mañón;1309,0;1319,0;1356,0;1363,0;1391,0;-82,0
"""15045""";Mazaricos;3806,0;3841,0;3885,0;3947,0;4014,0;-208,0
"""15046""";Melide;7427,0;7419,0;7406,0;7443,0;7503,0;-76,0
"""15047""";Mesía;2479,0;2497,0;2530,0;2582,0;2637,0;-158,0
"""15048""";Miño;6423,0;6277,0;6200,0;6056,0;5905,0;518,0
"""15049""";Moeche;1200,0;1186,0;1226,0;1226,0;1230,0;-30,0
"""15050""";Monfero;1908,0;1907,0;1932,0;1962,0;1985,0;-77,0
"""15051""";Mugardos;5226,0;5215,0;5245,0;5307,0;5303,0;-77,0
"""15053""";Muros;8399,0;8427,0;8556,0;8695,0;8792,0;-393,0
"""15052""";Muxía;4564,0;4596,0;4657,0;4736,0;4852,0;-288,0
"""15054""";Narón;38913,0;39056,0;39080,0;39115,0;39280,0;-367,0
"""15055""";Neda;5032,0;5023,0;5079,0;5112,0;5165,0;-133,0
"""15056""";Negreira;6775,0;6788,0;6827,0;6877,0;6883,0;-108,0
"""15057""";Noia;14240,0;14274,0;14263,0;14271,0;14295,0;-55,0
"""15058""";Oleiros;36922,0;36534,0;36075,0;35559,0;35198,0;1724,0
"""15059""";Ordes;12605,0;12625,0;12674,0;12632,0;12580,0;25,0
"""15060""";Oroso;7530,0;7533,0;7500,0;7452,0;7452,0;78,0
"""15061""";Ortigueira;5485,0;5633,0;5671,0;5804,0;5966,0;-481,0
"""15062""";Outes;6150,0;6155,0;6282,0;6412,0;6514,0;-364,0
"""15063""";Oza dos Ríos;;;;;;
"""15902""";Oza-Cesuras;5170,0;5096,0;5101,0;5155,0;5133,0;37,0
"""15064""";Paderne;2393,0;2383,0;2394,0;2419,0;2441,0;-48,0
"""15065""";Padrón;8317,0;8366,0;8384,0;8386,0;8463,0;-146,0
"""15066""";Pino, O;4639,0;4652,0;4641,0;4656,0;4644,0;-5,0
"""15067""";Pobra do Caramiñal, A;9291,0;9318,0;9338,0;9390,0;9440,0;-149,0
"""15068""";Ponteceso;5457,0;5497,0;5502,0;5565,0;5613,0;-156,0
"""15069""";Pontedeume;7687,0;7753,0;7777,0;7884,0;7937,0;-250,0
"""15070""";Pontes de García Rodríguez, As;10032,0;10068,0;10138,0;10237,0;10324,0;-292,0
"""15071""";Porto do Son;9155,0;9142,0;9171,0;9243,0;9271,0;-116,0
"""15072""";Rianxo;11004,0;11013,0;11033,0;11104,0;11188,0;-184,0
"""15073""";Ribeira;26839,0;26848,0;26886,0;27067,0;27159,0;-320,0
"""15074""";Rois;4493,0;4505,0;4512,0;4564,0;4627,0;-134,0
"""15075""";Sada;16382,0;16186,0;15841,0;15495,0;15242,0;1140,0
"""15076""";San Sadurniño;2812,0;2784,0;2822,0;2828,0;2877,0;-65,0
"""15077""";Santa Comba;9359,0;9362,0;9426,0;9450,0;9477,0;-118,0
"""15078""";Santiago de Compostela;97858,0;97848,0;97260,0;96405,0;96456,0;1402,0
"""15079""";Santiso;1529,0;1544,0;1584,0;1610,0;1630,0;-101,0
"""15080""";Sobrado;1778,0;1730,0;1758,0;1799,0;1847,0;-69,0
"""15081""";Somozas, As;1076,0;1083,0;1098,0;1103,0;1128,0;-52,0
"""15082""";Teo;18778,0;18632,0;18579,0;18525,0;18478,0;300,0
"""15083""";Toques;1101,0;1107,0;1124,0;1151,0;1173,0;-72,0
"""15084""";Tordoia;3228,0;3259,0;3299,0;3361,0;3433,0;-205,0
"""15085""";Touro;3495,0;3516,0;3574,0;3620,0;3693,0;-198,0
"""15086""";Trazo;3059,0;3013,0;3113,0;3148,0;3186,0;-127,0
"""15088""";Val do Dubra;3816,0;3851,0;3876,0;3925,0;3931,0;-115,0
"""15087""";Valdoviño;6872,0;6542,0;6563,0;6613,0;6594,0;278,0
"""15089""";Vedra;5032,0;5007,0;5036,0;5046,0;5051,0;-19,0
"""15091""";Vilarmaior;1219,0;1209,0;1226,0;1231,0;1249,0;-30,0
"""15090""";Vilasantar;1219,0;1211,0;1213,0;1225,0;1241,0;-22,0
