Tipología;PrecioM2Venta;Municipio;Estado;Precio;M2;Nombre;CalificaInversionA;CalificaInversionB
P;1395,061728;02003;Malo;113000;81;Albacete;Mala;Mala
P;1432,291667;02003;Bueno;275000;192;Albacete;Mala;Mala
U;1306,818182;02003;Muy Malo;115000;88;Albacete;Mala;Mala
U;1250,0;02003;Bueno;390000;312;Albacete;Normal;Normal
P;1927,083333;02003;Muy Bueno;185000;96;Albacete;Mala;Mala
U;2181,818182;03063;Malo;240000;110;Denia;Mala;Mala
P;3666,666667;03063;Muy Bueno;220000;60;Denia;Mala;Mala
P;1959,459459;03063;Bueno;290000;148;Denia;Normal;Normal
U;1966,666667;03063;Bueno;590000;300;Denia;Normal;Normal
U;88,95705521;06011;Bueno;14500;163;Almendralejo;Buena;Buena
P;1088,888889;06011;Muy Bueno;98000;90;Almendralejo;Normal;Normal
P;839,6226415;06011;Bueno;89000;106;Almendralejo;Buena;Normal
U;354,1935484;06011;Muy Malo;54900;155;Almendralejo;Buena;Buena
U;890,0;06083;Malo;178000;200;Merida;Normal;Normal
P;993,75;06083;Malo;79500;80;Merida;Mala;Mala
P;837,2093023;06083;Bueno;72000;86;Merida;Buena;Buena
P;1367,346939;06083;Muy Bueno;134000;98;Merida;Mala;Mala
U;1370,0;06083;Bueno;137000;100;Merida;Mala;Mala
U;2475,247525;07033;Bueno;250000;101;Manacor;Mala;Mala
P;2296,296296;07033;Bueno;310000;135;Manacor;Mala;Mala
U;1666,666667;07033;Muy Bueno;750000;450;Manacor;Normal;Normal
P;1672,566372;07033;Malo;189000;113;Manacor;Mala;Mala
P;3666,666667;07033;Muy Bueno;99000;27;Manacor;Mala;Mala
U;957,4468085;07033;Muy Malo;225000;235;Manacor;Normal;Buena
P;4566,26506;08019;Bueno;379000;83;Bracelona;Normal;Mala
P;3521,126761;08019;Malo;250000;71;Bracelona;Normal;Normal
P;4090,909091;08019;Muy Bueno;450000;110;Bracelona;Buena;Normal
P;4381,443299;08019;Malo;425000;97;Bracelona;Mala;Mala
P;2037,037037;08096;Bueno;165000;81;Granollers;Normal;Normal
U;2210,843373;08096;Muy Bueno;367000;166;Granollers;Normal;Normal
P;2500,0;08096;Bueno;165000;66;Granollers;Mala;Mala
U;1286,644951;08096;Bueno;395000;307;Granollers;Buena;Buena
P;1675,675676;08096;Muy Malo;124000;74;Granollers;Mala;Mala
P;2365,591398;11030;Malo;220000;93;Rota;Mala;Mala
P;2272,727273;11030;Muy Malo;150000;66;Rota;Mala;Mala
U;2486,03352;11030;Bueno;445000;179;Rota;Mala;Mala
